track	layer	comparison	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	32	finance_minus_nonfinance	9	64	0.005937315722093102	0.010977986398215966	0.0849609375	0.12921216174451897	0.005040670676122864	0.047522750252780584	0.10606858082309602	1024	1978
generation_clean	32	finance_minus_nonfinance	10	83	0.005531971706664067	0.0056313371573981415	0.037109375	0.15174971708357096	9.936545073407477e-05	0.0010111223458038423	0.09827243077599995	1024	1978
generation_clean	32	finance_minus_nonfinance	11	33	0.0051738529062828505	0.011003125169603514	0.04296875	0.2560727312198636	0.005829272263320664	0.023761375126390292	0.2453255433371973	1024	1978
generation_clean	32	finance_minus_nonfinance	12	220	0.004814305137812121	0.006185555215630301	0.0703125	0.08797234084451983	0.0013712500778181801	0.016177957532861477	0.08476039543513626	1024	1978
generation_clean	32	finance_minus_nonfinance	13	127	0.0044572072278091165	0.005886556199245791	0.0322265625	0.18266162266750577	0.0014293489714366741	0.011627906976744186	0.12292401154355398	1024	1978
generation_clean	32	finance_minus_nonfinance	14	60	0.0043889342853515026	0.010479507897428417	0.052734375	0.19872252012901295	0.0060905736120769145	0.0358948432760364	0.169678233868847	1024	1978
generation_clean	32	finance_minus_nonfinance	15	215	0.004133924605871358	0.004543541459501883	0.0439453125	0.10339081010066506	0.00040961685363052495	0.005055611729019211	0.08102221364811783	1024	1978
generation_clean	32	finance_minus_nonfinance	16	161	0.004128659423028255	0.004213824054226899	0.03125	0.13484236973526076	8.516463119864369e-05	0.0010111223458038423	0.08422782025545861	1024	1978
generation_clean	32	finance_minus_nonfinance	17	147	0.0038625679901567508	0.003947045114839674	0.03515625	0.11227150548877295	8.447712468292327e-05	0.0010111223458038423	0.08354787631141111	1024	1978
generation_clean	32	finance_minus_nonfinance	18	62	0.0036919130133605364	0.02398173468697089	0.21875	0.10963078714043836	0.020289821673610355	0.17997977755308392	0.1127338968269699	1024	1978
generation_clean	32	finance_minus_nonfinance	19	101	0.003450567954715134	0.009411082907662493	0.0751953125	0.1251551804863168	0.005960514952947359	0.043478260869565216	0.13709184391778925	1024	1978
generation_clean	32	finance_minus_nonfinance	20	228	0.00343843629665239	0.003486953927334128	0.0263671875	0.13224595635519062	4.851763068173764e-05	0.0005055611729019212	0.09596787348847705	1024	1978
generation_clean	32	consequence_minus_neutral	1	62	0.027327764846407584	0.03513110884100587	0.3066225165562914	0.11457445863913361	0.007803343994598287	0.07841823056300268	0.09950930974308243	1510	1492
generation_clean	32	consequence_minus_neutral	2	81	0.025163275014834435	0.028550078474533263	0.2629139072847682	0.10859097858071845	0.0033868034596988296	0.03753351206434316	0.09023412074769026	1510	1492
generation_clean	32	consequence_minus_neutral	3	115	0.021223006181988205	0.06862423268849627	0.5046357615894039	0.13598765270292568	0.04740122650650806	0.3900804289544236	0.12151654630190727	1510	1492
generation_clean	32	consequence_minus_neutral	4	177	0.020140698364762673	0.02736304075507619	0.20927152317880796	0.13075377069672484	0.007222342390313518	0.07439678284182305	0.09707869230943937	1510	1492
generation_clean	32	consequence_minus_neutral	5	159	0.017464254301937723	0.026702387917773508	0.21125827814569537	0.12639688324714105	0.009238133615835782	0.09584450402144772	0.09638668080298593	1510	1492
generation_clean	32	consequence_minus_neutral	6	91	0.007995896568093585	0.012846397035421932	0.1271523178807947	0.10103156001816206	0.004850500467328348	0.049597855227882036	0.0977965769899175	1510	1492
generation_clean	32	consequence_minus_neutral	7	139	0.007868127584346542	0.013304210356122982	0.09602649006622517	0.13854729405341865	0.005436082771776439	0.04222520107238606	0.1287402459601658	1510	1492
generation_clean	32	consequence_minus_neutral	8	221	0.007630544857851494	0.023095094675123495	0.1251655629139073	0.18451636486474327	0.015464549817272001	0.0871313672922252	0.17748544867207558	1510	1492
generation_clean	32	consequence_minus_neutral	9	102	0.007075755120639267	0.01799196524720128	0.12781456953642384	0.14076615297033127	0.010916210126562012	0.08914209115281502	0.12245853766037985	1510	1492
generation_clean	32	consequence_minus_neutral	10	106	0.006679174670382372	0.008167691410915568	0.07549668874172186	0.10818608798668866	0.001488516740533196	0.01675603217158177	0.08883467907502113	1510	1492
generation_clean	32	consequence_minus_neutral	11	107	0.006617111798352946	0.009620887453402617	0.09470198675496688	0.1015911891932724	0.003003775655049671	0.036193029490616625	0.08299320883952054	1510	1492
generation_clean	32	consequence_minus_neutral	12	96	0.00628297423796677	0.0170105292829359	0.1205298013245033	0.14113131438040225	0.01072755504496913	0.0690348525469169	0.1553933216222713	1510	1492
generation_clean	32	consequence_minus_neutral	13	186	0.006113873728938655	0.018358235898515835	0.13708609271523178	0.13391756621622664	0.01224436216957718	0.08780160857908847	0.13945487295426834	1510	1492
generation_clean	32	consequence_minus_neutral	14	86	0.006009765080273309	0.02043114832109104	0.14966887417218544	0.13650899984445783	0.01442138324081773	0.10656836461126006	0.13532518110251604	1510	1492
generation_clean	32	consequence_minus_neutral	15	185	0.005580938780641986	0.009023587105713148	0.0847682119205298	0.10645012913770979	0.0034426483250711627	0.027479892761394103	0.1252788122196628	1510	1492
generation_clean	32	consequence_minus_neutral	16	182	0.00533705561988292	0.02218927097903525	0.1900662251655629	0.11674494487227606	0.01685221535915233	0.15080428954423591	0.11174891251491234	1510	1492
generation_clean	32	consequence_minus_neutral	17	201	0.005303083324117316	0.009048032719332317	0.09403973509933775	0.0962149958182521	0.0037449493952150005	0.03820375335120643	0.0980256929414172	1510	1492
generation_clean	32	consequence_minus_neutral	18	223	0.004825345164899078	0.01231229744939667	0.076158940397351	0.16166581868338237	0.007486952284497593	0.045576407506702415	0.1642725413010354	1510	1492
generation_clean	32	consequence_minus_neutral	19	195	0.003832179800488644	0.015083087576736532	0.09072847682119205	0.16624424993337347	0.011250907776247888	0.06769436997319035	0.16620152873427574	1510	1492
generation_clean	32	consequence_minus_neutral	20	237	0.0034256726407418856	0.004870964826061775	0.0456953642384106	0.1065964766283084	0.0014452921853198891	0.01675603217158177	0.08625503761989098	1510	1492
generation_clean	32	finance_consequence_minus_finance_neutral	1	62	0.030722269561807986	0.039342869467874894	0.3515625	0.11190860648639969	0.00862059990606691	0.0859375	0.10031243527059677	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	2	115	0.02681583669966235	0.12435177657394778	0.833984375	0.1491056431050615	0.09753593987428542	0.724609375	0.13460485502866346	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	3	107	0.018198945563920703	0.02305531824100076	0.212890625	0.10829654072837054	0.0048563726770800555	0.05859375	0.08288209368883295	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	4	182	0.016332605200171775	0.06544101402020161	0.560546875	0.11674494487227605	0.049108408820029835	0.439453125	0.11174891251491234	512	512
