track	layer	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
prefill	0	nonfinance_neutral	134	0.019114889416400677	0.10160427807486631	0.18813075372983823	11	0.058823529411764705	187
prefill	0	nonfinance_neutral	136	0.018505832570274904	0.053475935828877004	0.3460590690641407	10	0.053475935828877004	187
prefill	0	nonfinance_neutral	182	0.01691169986416901	0.18181818181818182	0.09301434925292955	0	0.0	187
prefill	0	nonfinance_neutral	79	0.01675075079669403	0.0855614973262032	0.19577439993636148	8	0.0427807486631016	187
prefill	0	nonfinance_neutral	58	0.01546605744115581	0.1497326203208556	0.10329116933914774	0	0.0	187
prefill	0	finance	189	0.033010654193550204	0.20100502512562815	0.16422800461291226	24	0.12060301507537688	199
prefill	0	finance	238	0.029189199780451022	0.25125628140703515	0.11617301512619507	3	0.01507537688442211	199
prefill	0	finance	30	0.021322172163421426	0.20100502512562815	0.1060778065130216	0	0.0	199
prefill	0	finance	81	0.021127463683035284	0.11557788944723618	0.18279849012713137	10	0.05025125628140704	199
prefill	0	finance	236	0.020830511153019333	0.10050251256281408	0.20726358597254235	9	0.04522613065326633	199
prefill	0	finance	143	0.019158391922327312	0.08542713567839195	0.22426588191430208	6	0.03015075376884422	199
prefill	0	finance	188	0.017427805509412527	0.12060301507537688	0.14450555401554555	9	0.04522613065326633	199
prefill	0	finance	182	0.016052021548116826	0.1658291457286432	0.09679855418409844	0	0.0	199
prefill	0	finance	136	0.01576993816106621	0.07035175879396985	0.22415840671801254	8	0.04020100502512563	199
prefill	0	finance	79	0.015419631163867067	0.08542713567839195	0.18050038832997334	7	0.035175879396984924	199
prefill	0	finance	134	0.015202058352539178	0.08040201005025126	0.18907560075970603	7	0.035175879396984924	199
prefill	0	finance	58	0.015124445351531632	0.1457286432160804	0.10378498706740673	0	0.0	199
prefill	0	nonfinance	189	0.03506031000049583	0.21390374331550802	0.163906949252318	46	0.12299465240641712	374
prefill	0	nonfinance	238	0.03198798716996565	0.2700534759358289	0.11845056635215001	7	0.01871657754010695	374
prefill	0	nonfinance	30	0.02356664071573774	0.21390374331550802	0.11017404534607393	2	0.0053475935828877	374
prefill	0	nonfinance	236	0.023179298462169907	0.10962566844919786	0.21144042987442796	19	0.05080213903743316	374
prefill	0	nonfinance	143	0.01985953200677143	0.0855614973262032	0.2321082803291411	11	0.029411764705882353	374
prefill	0	nonfinance	81	0.019434209621866292	0.10695187165775401	0.18170985996444983	19	0.05080213903743316	374
prefill	0	nonfinance	182	0.016983909603335425	0.17914438502673796	0.09480570435294701	0	0.0	374
prefill	0	nonfinance	79	0.01677110709814007	0.0855614973262032	0.19601231420951207	15	0.040106951871657755	374
prefill	0	nonfinance	188	0.016629674149826624	0.12566844919786097	0.13232974749010973	13	0.034759358288770054	374
prefill	0	nonfinance	57	0.015733901050381652	0.10695187165775401	0.14711197482106844	8	0.0213903743315508	374
prefill	0	nonfinance	58	0.015708944679729313	0.1497326203208556	0.10491330911104935	0	0.0	374
prefill	0	nonfinance	122	0.01470758937117538	0.10427807486631016	0.14104201089281007	2	0.0053475935828877	374
prefill	0	consequence	189	0.03401950824092883	0.20833333333333334	0.16329363955645837	33	0.11458333333333333	288
prefill	0	consequence	238	0.03173807893523299	0.2604166666666667	0.12187422311129467	6	0.020833333333333332	288
prefill	0	consequence	30	0.02232812168167594	0.20833333333333334	0.10717498407204451	1	0.003472222222222222	288
