track	layer	comparison	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
prefill	27	finance_minus_nonfinance	45	-0.0007759590127288409	0.0	0.0	0.0007759590127288409	0.0106951871657754	199	374
prefill	27	finance_minus_nonfinance	25	0.0	0.0	0.0	0.0	0.0	199	374
prefill	27	finance_minus_nonfinance	218	-0.0022129447268605107	0.06024039992486579	0.5778894472361809	0.0624533446517263	0.5641711229946524	199	374
prefill	27	finance_minus_nonfinance	185	8.549503544912074e-05	0.04531347361936013	0.31155778894472363	0.04522797858391101	0.3181818181818182	199	374
prefill	27	finance_minus_nonfinance	157	0.0005199224424465348	0.0005199224424465348	0.005025125628140704	0.0	0.0	199	374
prefill	27	finance_minus_nonfinance	222	-0.008930984579465808	0.0010973335156758328	0.010050251256281407	0.01002831809514164	0.0748663101604278	199	374
prefill	27	finance_minus_nonfinance	233	-0.004758834411427602	0.015529626956726337	0.10050251256281408	0.02028846136815394	0.11764705882352941	199	374
prefill	27	finance_minus_nonfinance	36	0.0	0.0	0.0	0.0	0.0	199	374
prefill	27	finance_minus_nonfinance	216	-0.008013300630762714	0.0029823473522253363	0.02512562814070352	0.01099564798298805	0.07219251336898395	199	374
prefill	27	finance_minus_nonfinance	189	0.0010747177191823907	0.0023173739851357583	0.010050251256281407	0.0012426562659533676	0.0053475935828877	199	374
prefill	27	finance_minus_nonfinance	133	1.989198882463325e-06	0.00039820940496318	0.005025125628140704	0.0003962202060807167	0.0053475935828877	199	374
prefill	27	finance_minus_nonfinance	42	-0.0004353192834600123	0.0	0.0	0.0004353192834600123	0.0053475935828877	199	374
prefill	27	finance_minus_nonfinance	151	-0.004784533981264375	0.003296681831159818	0.03015075376884422	0.008081215812424193	0.0748663101604278	199	374
prefill	27	finance_minus_nonfinance	174	0.0035634745218360683	0.005520525386891245	0.06532663316582915	0.0019570508650551765	0.026737967914438502	199	374
prefill	27	consequence_minus_neutral	173	-0.0006718519331957066	0.0002073338198237871	0.003472222222222222	0.0008791857530194936	0.010526315789473684	288	285
prefill	27	consequence_minus_neutral	45	-0.0005321378021241164	0.0002417965046338801	0.003472222222222222	0.0007739343067579965	0.010526315789473684	288	285
prefill	27	consequence_minus_neutral	25	0.0	0.0	0.0	0.0	0.0	288	285
prefill	27	consequence_minus_neutral	218	-0.004423962182962711	0.059484400109336054	0.5555555555555556	0.06390836229229876	0.5824561403508772	288	285
prefill	27	consequence_minus_neutral	185	-0.0024191098942893396	0.0440544483782948	0.3090277777777778	0.04647355827258414	0.32280701754385965	288	285
prefill	27	consequence_minus_neutral	157	-0.0003630335650767033	0.0	0.0	0.0003630335650767033	0.0035087719298245615	288	285
prefill	27	consequence_minus_neutral	222	0.007496667054029902	0.01065534109528968	0.0763888888888889	0.0031586740412597766	0.028070175438596492	288	285
prefill	27	consequence_minus_neutral	233	-0.005193834296586982	0.016052421538483116	0.0798611111111111	0.0212462558350701	0.14385964912280702	288	285
prefill	27	consequence_minus_neutral	36	0.0	0.0	0.0	0.0	0.0	288	285
prefill	27	consequence_minus_neutral	216	0.006772833608804021	0.011581356103384847	0.0798611111111111	0.004808522494580826	0.031578947368421054	288	285
prefill	27	consequence_minus_neutral	189	-0.003248810057924826	0.0	0.0	0.003248810057924826	0.014035087719298246	288	285
prefill	27	consequence_minus_neutral	133	-0.00023813738651214578	0.00027846574782879464	0.003472222222222222	0.0005166031343409404	0.007017543859649123	288	285
prefill	27	consequence_minus_neutral	42	-0.0005712610947861213	0.0	0.0	0.0005712610947861213	0.007017543859649123	288	285
prefill	27	consequence_minus_neutral	151	-0.005501779845463889	0.0036830840179585397	0.034722222222222224	0.009184863863422429	0.08421052631578947	288	285
prefill	27	consequence_minus_neutral	174	-0.006143299045785128	0.00013905994323426218	0.003472222222222222	0.00628235898901939	0.07719298245614035	288	285
prefill	27	finance_consequence_minus_finance_neutral	173	-0.001129247376925045	0.0	0.0	0.001129247376925045	0.01020408163265306	101	98
prefill	27	finance_consequence_minus_finance_neutral	45	0.0	0.0	0.0	0.0	0.0	101	98
prefill	27	finance_consequence_minus_finance_neutral	25	0.0	0.0	0.0	0.0	0.0	101	98
prefill	27	finance_consequence_minus_finance_neutral	218	-0.0051952695588013825	0.05768192546877261	0.5643564356435643	0.062877195027574	0.5918367346938775	101	98
prefill	27	finance_consequence_minus_finance_neutral	185	-0.0028648753309512276	0.04390263049155502	0.297029702970297	0.046767505822506245	0.32653061224489793	101	98
prefill	27	finance_consequence_minus_finance_neutral	157	-0.001055760878029188	0.0	0.0	0.001055760878029188	0.01020408163265306	101	98
prefill	27	finance_consequence_minus_finance_neutral	222	0.0021620729665296112	0.0021620729665296112	0.019801980198019802	0.0	0.0	101	98
prefill	27	finance_consequence_minus_finance_neutral	233	0.0026158714493115763	0.01681784505739234	0.0891089108910891	0.014201973608080763	0.11224489795918367	101	98
prefill	27	finance_consequence_minus_finance_neutral	36	0.0	0.0	0.0	0.0	0.0	101	98
prefill	27	finance_consequence_minus_finance_neutral	216	0.004164032005973225	0.005032976179287527	0.039603960396039604	0.0008689441733143025	0.01020408163265306	101	98
prefill	27	finance_consequence_minus_finance_neutral	189	-0.004705687990224652	0.0	0.0	0.004705687990224652	0.02040816326530612	101	98
prefill	27	finance_consequence_minus_finance_neutral	133	-0.0008086088937517635	0.0	0.0	0.0008086088937517635	0.01020408163265306	101	98
prefill	27	finance_consequence_minus_finance_neutral	42	0.0	0.0	0.0	0.0	0.0	101	98
prefill	27	finance_consequence_minus_finance_neutral	151	-0.006694282493885754	0.0	0.0	0.006694282493885754	0.061224489795918366	101	98
prefill	27	finance_consequence_minus_finance_neutral	174	-0.011210046448891406	0.0	0.0	0.011210046448891406	0.1326530612244898	101	98
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	173	-0.0004288211580890403	0.0003193162572687202	0.0053475935828877	0.0007481374153577605	0.0106951871657754	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	45	-0.0008071330700078691	0.0003723924777249063	0.0053475935828877	0.0011795255477327754	0.016042780748663103	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	25	0.0	0.0	0.0	0.0	0.0	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	218	-0.0039908309168993	0.06045792919327667	0.5508021390374331	0.06444876011017597	0.5775401069518716	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	185	-0.0021830646191391204	0.04413644627434145	0.3155080213903743	0.04631951089348057	0.32085561497326204	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	157	0.0	0.0	0.0	0.0	0.0	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	222	0.010428592321202678	0.015242614255742979	0.10695187165775401	0.004814021934540301	0.0427807486631016	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	233	-0.009298900786719536	0.015639010974794178	0.0748663101604278	0.024937911761513713	0.16042780748663102	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	36	0.0	0.0	0.0	0.0	0.0	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	216	0.008245067281797119	0.015118181623886605	0.10160427807486631	0.006873114342089486	0.0427807486631016	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	189	-0.002485312531906735	0.0	0.0	0.002485312531906735	0.0106951871657754	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	133	6.529365601709998e-05	0.00042886703408926666	0.0053475935828877	0.0003635733780721667	0.0053475935828877	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	42	-0.0008706385669200246	0.0	0.0	0.0008706385669200246	0.0106951871657754	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	151	-0.004817745024077693	0.005672343300385345	0.053475935828877004	0.010490088324463038	0.0962566844919786	187	187
prefill	27	nonfinance_consequence_minus_nonfinance_neutral	174	-0.0034857673595064228	0.00021416718530196528	0.0053475935828877	0.003699934544808388	0.0481283422459893	187	187
prefill	27	finance_consequence_minus_nonfinance_consequence	173	-0.0003193162572687202	0.0	0.0	0.0003193162572687202	0.0053475935828877	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	45	-0.0003723924777249063	0.0	0.0	0.0003723924777249063	0.0053475935828877	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	25	0.0	0.0	0.0	0.0	0.0	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	218	-0.00277600372450406	0.05768192546877261	0.5643564356435643	0.06045792919327667	0.5508021390374331	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	185	-0.00023381578278643123	0.04390263049155502	0.297029702970297	0.04413644627434145	0.3155080213903743	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	157	0.0	0.0	0.0	0.0	0.0	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	222	-0.013080541289213368	0.0021620729665296112	0.019801980198019802	0.015242614255742979	0.10695187165775401	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	233	0.001178834082598161	0.01681784505739234	0.0891089108910891	0.015639010974794178	0.0748663101604278	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	36	0.0	0.0	0.0	0.0	0.0	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	216	-0.010085205444599078	0.005032976179287527	0.039603960396039604	0.015118181623886605	0.10160427807486631	101	187
prefill	27	finance_consequence_minus_nonfinance_consequence	189	0.0	0.0	0.0	0.0	0.0	101	187
