run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	8	6	216	0.008564071145966167	0.01648795777260858	0.13043478260869565	0.007923886626642411	0.062111801242236024	161	161
baseline	prefill	8	7	25	0.006917180973064426	0.02690121977496541	0.15527950310559005	0.019984038801900982	0.15527950310559005	161	161
baseline	prefill	8	8	124	0.006415658966993265	0.011685896815202419	0.09316770186335403	0.005270237848209154	0.037267080745341616	161	161
baseline	prefill	8	9	204	0.0061688191997334605	0.007084586495357809	0.07453416149068323	0.0009157672956243487	0.012422360248447204	161	161
baseline	prefill	8	10	224	0.00522364732945324	0.14387049066675256	0.6273291925465838	0.13864684333729932	0.5403726708074534	161	161
baseline	prefill	8	11	61	0.004571650072364776	0.006451317167912433	0.08074534161490683	0.0018796670955476577	0.031055900621118012	161	161
baseline	prefill	8	12	106	0.004518626529732495	0.004518626529732495	0.031055900621118012	0.0	0.0	161	161
baseline	prefill	8	13	3	0.0037056723824162472	0.004815262773288205	0.049689440993788817	0.0011095903908719576	0.018633540372670808	161	161
baseline	prefill	8	14	72	0.0036307053340634277	0.005404310440758568	0.06832298136645963	0.001773605106695141	0.018633540372670808	161	161
baseline	prefill	8	15	43	0.0035807878298991552	0.005833697940118622	0.062111801242236024	0.002252910110219467	0.024844720496894408	161	161
baseline	prefill	9	1	255	0.01631540141092893	0.04534948656916654	0.33540372670807456	0.02903408515823761	0.2546583850931677	161	161
baseline	prefill	9	2	4	0.013257886207862975	0.016586392700480897	0.09937888198757763	0.0033285064926179228	0.031055900621118012	161	161
baseline	prefill	9	3	170	0.012088883200021584	0.050565456010961525	0.36645962732919257	0.03847657281093994	0.2919254658385093	161	161
baseline	prefill	9	4	128	0.010330864855450702	0.025816604645041635	0.18633540372670807	0.015485739789590933	0.13043478260869565	161	161
baseline	prefill	9	5	166	0.010251344804447261	0.01242640357323258	0.09937888198757763	0.002175058768785318	0.018633540372670808	161	161
baseline	prefill	9	6	43	0.007919135745355696	0.008446874691293864	0.062111801242236024	0.0005277389459381679	0.006211180124223602	161	161
baseline	prefill	9	7	15	0.007841660944246567	0.02405200102816689	0.17391304347826086	0.016210340083920322	0.14906832298136646	161	161
baseline	prefill	9	8	205	0.007216336943825123	0.007928710227815333	0.06832298136645963	0.0007123732839902097	0.006211180124223602	161	161
baseline	prefill	9	9	48	0.0070188762761596996	0.02950344615281392	0.16770186335403728	0.02248456987665422	0.19254658385093168	161	161
baseline	prefill	9	10	156	0.006256273534834281	0.02257167845611965	0.14285714285714285	0.01631540492128537	0.12422360248447205	161	161
baseline	prefill	9	11	56	0.004880175297389296	0.006606794965805546	0.062111801242236024	0.0017266196684162503	0.018633540372670808	161	161
