layer	track	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
0	prefill	B_professional_or_descriptive	81	0.018463352454315574	0.09316770186335403	0.19817331634298715	8	0.049689440993788817	161
0	prefill	B_professional_or_descriptive	136	0.018216995651834947	0.08074534161490683	0.22561048461118666	9	0.055900621118012424	161
0	prefill	B_professional_or_descriptive	143	0.017991027130120314	0.08695652173913043	0.2068968119963836	4	0.024844720496894408	161
0	prefill	B_professional_or_descriptive	79	0.015528500880030128	0.08695652173913043	0.17857776012034648	6	0.037267080745341616	161
0	prefill	B_professional_or_descriptive	182	0.01451813020017973	0.14906832298136646	0.09739245675953902	0	0.0	161
0	prefill	B_professional_or_descriptive	13	0.01315852416302674	0.06832298136645963	0.1925929445679368	5	0.031055900621118012	161
0	prefill	B_professional_or_descriptive	58	0.012914742523854867	0.13043478260869565	0.09901302601622065	0	0.0	161
0	prefill	B_professional_or_descriptive	36	0.01288048906347446	0.08695652173913043	0.1481256242299563	2	0.012422360248447204	161
0	prefill	B_professional_or_descriptive	173	0.012302303401166318	0.09316770186335403	0.13204472317251847	3	0.018633540372670808	161
0	prefill	B_professional_or_descriptive	243	0.012025052008051833	0.062111801242236024	0.19360333732963453	4	0.024844720496894408	161
0	prefill	B_professional_or_descriptive	57	0.011945048550376756	0.08695652173913043	0.1373680583293327	3	0.018633540372670808	161
0	prefill	B_professional_or_descriptive	134	0.01183746210933185	0.08695652173913043	0.1361308142573163	4	0.024844720496894408	161
0	prefill	B_professional_or_descriptive	187	0.011680380469478438	0.07453416149068323	0.1567117712988357	3	0.018633540372670808	161
0	prefill	B_professional_or_descriptive	188	0.01131554721247946	0.07453416149068323	0.15181692510076608	5	0.031055900621118012	161
0	prefill	B_professional_or_descriptive	78	0.011106785474010245	0.08695652173913043	0.12772803295111781	0	0.0	161
0	prefill	B_professional_or_descriptive	115	0.010836791362230794	0.08074534161490683	0.1342094930245506	0	0.0	161
0	prefill	ALL	189	0.03157564532680425	0.19875776397515527	0.1588649655504839	33	0.10248447204968944	322
0	prefill	ALL	13	0.022987379496693158	0.11801242236024845	0.19478779468250518	30	0.09316770186335403	322
0	prefill	ALL	30	0.022014082340363388	0.20186335403726707	0.10905437713226171	3	0.009316770186335404	322
0	prefill	ALL	238	0.02190319729894129	0.19875776397515527	0.11020046141029838	0	0.0	322
0	prefill	ALL	236	0.02132315896146772	0.10559006211180125	0.20194285839978252	13	0.040372670807453416	322
0	prefill	ALL	174	0.019331419179318483	0.11180124223602485	0.17290880488168198	4	0.012422360248447204	322
0	prefill	ALL	143	0.017483844001593387	0.08074534161490683	0.21653068340434886	9	0.027950310559006212	322
0	prefill	ALL	81	0.01726901986160306	0.09006211180124224	0.1917456688081443	15	0.046583850931677016	322
0	prefill	ALL	79	0.015716627149071835	0.09006211180124224	0.17450875662072865	10	0.031055900621118012	322
0	prefill	ALL	182	0.015646663889526565	0.15838509316770186	0.0987887406358344	0	0.0	322
0	prefill	ALL	136	0.015242198647119282	0.06832298136645963	0.22309036201692767	13	0.040372670807453416	322
0	prefill	ALL	73	0.013849554523849894	0.13664596273291926	0.10135355810635603	0	0.0	322
0	prefill	ALL	58	0.013566707007388348	0.13664596273291926	0.09928362855406926	0	0.0	322
0	prefill	ALL	188	0.012523826909334767	0.08385093167701864	0.14935823202984425	9	0.027950310559006212	322
0	prefill	ALL	173	0.012413377371753213	0.09316770186335403	0.13323691712348448	6	0.018633540372670808	322
0	prefill	ALL	243	0.012382708234053326	0.06521739130434782	0.189868192922151	9	0.027950310559006212	322
0	prefill	ALL	187	0.011995931002729195	0.07763975155279502	0.15450759131515204	6	0.018633540372670808	322
0	prefill	ALL	57	0.0116470428637032	0.08695652173913043	0.13394099293258682	5	0.015527950310559006	322
0	prefill	ALL	134	0.011370608862659764	0.06832298136645963	0.16642436608074745	9	0.027950310559006212	322
0	prefill	ALL	116	0.010869096801864786	0.09627329192546584	0.11289836032904714	1	0.003105590062111801	322
1	generation_clean	A_unsafe_redflag	153	0.015130264714496428	0.08754863813229571	0.17282124585002587	14	0.027237354085603113	514
1	generation_clean	A_unsafe_redflag	242	0.014731883248035841	0.06809338521400778	0.21634822827115494	18	0.03501945525291829	514
1	generation_clean	A_unsafe_redflag	254	0.014202474279056663	0.08365758754863813	0.16976911114965407	15	0.029182879377431907	514
1	generation_clean	A_unsafe_redflag	155	0.01256329703570474	0.08949416342412451	0.14038118861635296	5	0.009727626459143969	514
1	generation_clean	A_unsafe_redflag	60	0.012052702790387972	0.07003891050583658	0.1720858120627616	11	0.021400778210116732	514
1	generation_clean	A_unsafe_redflag	198	0.011764951890818323	0.07198443579766536	0.16343743978055725	13	0.02529182879377432	514
1	generation_clean	A_unsafe_redflag	182	0.011056698856482892	0.05642023346303502	0.195970455594214	13	0.02529182879377432	514
1	generation_clean	A_unsafe_redflag	135	0.01045090557633497	0.06420233463035019	0.1627807717041265	11	0.021400778210116732	514
1	generation_clean	A_unsafe_redflag	29	0.01027181903111863	0.07392996108949416	0.1389398679472362	8	0.01556420233463035	514
1	generation_clean	A_unsafe_redflag	223	0.00991247088445332	0.058365758754863814	0.1698336678203002	12	0.023346303501945526	514
1	generation_clean	A_unsafe_redflag	111	0.009791936187128716	0.054474708171206226	0.17975197143514857	7	0.013618677042801557	514
1	generation_clean	A_unsafe_redflag	245	0.009780089345614208	0.08365758754863813	0.11690618427083031	2	0.0038910505836575876	514
1	generation_clean	A_unsafe_redflag	144	0.009498005309459677	0.06614785992217899	0.14358749203124335	6	0.011673151750972763	514
1	generation_clean	A_unsafe_redflag	101	0.009436189465777357	0.08171206225680934	0.11548098536689431	3	0.005836575875486381	514
1	generation_clean	A_unsafe_redflag	34	0.009166719025006582	0.04474708171206226	0.20485624255884274	13	0.02529182879377432	514
1	generation_clean	A_unsafe_redflag	133	0.009111939937417851	0.048638132295719845	0.18734148511331103	7	0.013618677042801557	514
1	generation_clean	A_unsafe_redflag	165	0.009111181210201795	0.07003891050583658	0.13008742061232562	5	0.009727626459143969	514
1	generation_clean	A_unsafe_redflag	44	0.008779734715592511	0.05058365758754864	0.17356860168517504	7	0.013618677042801557	514
1	generation_clean	A_unsafe_redflag	49	0.008698699456571276	0.06420233463035019	0.1354888339599284	5	0.009727626459143969	514
1	generation_clean	A_unsafe_redflag	98	0.00861113110844794	0.058365758754863814	0.1475373796580747	5	0.009727626459143969	514
1	generation_clean	B_professional_or_descriptive	254	0.012988140999020193	0.08723958333333333	0.1488789893619031	16	0.020833333333333332	768
1	generation_clean	B_professional_or_descriptive	182	0.011141044510469789	0.055989583333333336	0.19898423683815808	17	0.022135416666666668	768
1	generation_clean	B_professional_or_descriptive	242	0.010842450801494943	0.052083333333333336	0.2081750553887029	20	0.026041666666666668	768
1	generation_clean	B_professional_or_descriptive	11	0.01038331428066573	0.0859375	0.12082402072047395	6	0.0078125	768
1	generation_clean	B_professional_or_descriptive	155	0.01029222069724891	0.07552083333333333	0.13628319819805454	8	0.010416666666666666	768
1	generation_clean	B_professional_or_descriptive	230	0.009930658354192453	0.0546875	0.18158918133380486	16	0.020833333333333332	768
1	generation_clean	B_professional_or_descriptive	192	0.009575869745623073	0.057291666666666664	0.16714245374178455	16	0.020833333333333332	768
1	generation_clean	B_professional_or_descriptive	153	0.00942797864550184	0.0625	0.15084765832802943	12	0.015625	768
1	generation_clean	B_professional_or_descriptive	44	0.009412786641735173	0.057291666666666664	0.16429591229210486	14	0.018229166666666668	768
1	generation_clean	B_professional_or_descriptive	4	0.009386678846996748	0.061197916666666664	0.15338232669135113	12	0.015625	768
1	generation_clean	B_professional_or_descriptive	34	0.009223020485197546	0.048177083333333336	0.19143999277383011	17	0.022135416666666668	768
1	generation_clean	B_professional_or_descriptive	185	0.009043285629001778	0.049479166666666664	0.1827695621861412	9	0.01171875	768
1	generation_clean	B_professional_or_descriptive	60	0.008796943996724295	0.04296875	0.20472887846921994	14	0.018229166666666668	768
1	generation_clean	B_professional_or_descriptive	62	0.008641262448542115	0.05859375	0.1474775457884521	11	0.014322916666666666	768
1	generation_clean	B_professional_or_descriptive	15	0.008628737751945245	0.06510416666666667	0.13253741186987894	3	0.00390625	768
1	generation_clean	B_professional_or_descriptive	139	0.00849254869659566	0.048177083333333336	0.17627776754014776	17	0.022135416666666668	768
