track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
prefill	0	4	73	0.011938738041329649	0.01981892354451472	0.19254658385093168	0.1029305384086087	0.007880185503185071	0.08074534161490683	0.09759306661636896	161	161
prefill	0	5	131	0.010662577562123358	0.01359478339907846	0.13664596273291926	0.099489096693256	0.0029322058369551027	0.037267080745341616	0.07868085662496192	161	161
prefill	0	6	231	0.009771103658754119	0.01217005721635055	0.13043478260869565	0.09330377199202089	0.0023989535575964314	0.031055900621118012	0.07724630455460509	161	161
prefill	0	7	116	0.009340650910162509	0.015539422256946041	0.14906832298136646	0.10424362430701302	0.006198771346783533	0.043478260869565216	0.14257174097602127	161	161
prefill	0	8	195	0.008930763066880943	0.013676032915675734	0.14906832298136646	0.09174338747599138	0.004745269848794792	0.055900621118012424	0.0848876050728846	161	161
prefill	0	9	144	0.007720993183252797	0.009490953391428256	0.043478260869565216	0.21829192800284988	0.001769960208175459	0.012422360248447204	0.14248179675812445	161	161
prefill	0	10	159	0.006841876048574661	0.012222412639105356	0.12422360248447205	0.09839042174479812	0.005380536590530695	0.043478260869565216	0.12375234158220598	161	161
prefill	0	11	186	0.005563891330275344	0.006796705318019634	0.049689440993788817	0.13678369452514516	0.0012328139877442901	0.006211180124223602	0.19848305202683073	161	161
prefill	0	12	234	0.0041120724290394945	0.005124591808951337	0.037267080745341616	0.13750988020686086	0.0010125193799118428	0.006211180124223602	0.1630156201658067	161	161
prefill	0	13	223	0.002924818093580687	0.006770087111888357	0.055900621118012424	0.1211093361126695	0.00384526901830767	0.031055900621118012	0.12381766238950698	161	161
prefill	0	14	224	0.0027317350450422303	0.008711089235307319	0.06832298136645963	0.12749866971677074	0.0059793541902650885	0.049689440993788817	0.12033450307908491	161	161
prefill	0	15	29	0.0026848850700280933	0.009072515059772772	0.08074534161490683	0.11235960958641664	0.006387629989744678	0.055900621118012424	0.11426760314987702	161	161
prefill	0	16	250	0.002680335907016642	0.009193625299611817	0.062111801242236024	0.14801736732375026	0.0065132893925951745	0.055900621118012424	0.11651551024531367	161	161
prefill	0	17	11	0.002671475197258869	0.0043601727945482985	0.031055900621118012	0.14039756398445521	0.0016886975972894296	0.012422360248447204	0.1359401565817991	161	161
prefill	0	18	188	0.002416559393710613	0.013732106606190073	0.09316770186335403	0.1473912775731068	0.01131554721247946	0.07453416149068323	0.15181692510076608	161	161
prefill	0	19	67	0.0023966261225150318	0.0023966261225150318	0.018633540372670808	0.12861893524164003	0.0	0.0	0.0	161	161
prefill	0	20	122	0.002378538262051165	0.011153355664932495	0.08074534161490683	0.13813002015801013	0.00877481740288133	0.06832298136645963	0.1284314183512631	161	161
